acc,pre,sen,f1,spec,kappa,my_auc,qwk,file
0.9176,0.9064,0.8919,0.8958,0.9361,0.83,0.966,0.8719,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241207_090334/checkpoint-best/log.txt
0.9173,0.8991,0.8928,0.8899,0.9393,0.8304,0.9697,0.8593,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241204_203339/checkpoint-19/log.txt
0.9173,0.8991,0.8928,0.8899,0.9393,0.8304,0.9697,0.8593,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241204_203339/checkpoint-18/log.txt
0.9173,0.8991,0.8928,0.8899,0.9393,0.8304,0.9696,0.8593,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241204_203339/checkpoint-16/log.txt
0.9173,0.8991,0.8928,0.8899,0.9393,0.8304,0.9696,0.8593,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241204_203339/checkpoint-17/log.txt
0.9165,0.8977,0.8924,0.8889,0.939,0.8289,0.9694,0.8566,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241204_203339/checkpoint-15/log.txt
0.9153,0.9023,0.8879,0.8925,0.935,0.825,0.9609,0.8846,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_100403/checkpoint-best/log.txt
0.9137,0.9061,0.8821,0.8922,0.9319,0.8208,0.9582,0.8814,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241205_171907/checkpoint-best/log.txt
0.9133,0.886,0.8966,0.888,0.9402,0.8245,0.9685,0.8596,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241204_203339/checkpoint-best/log.txt
0.9118,0.8882,0.9015,0.8946,0.9408,0.8227,0.9704,0.8842,/home/ubuntu/qujunlong/txyy/output/results/swin_tiny_patch4_window7_224/20241207_093401/checkpoint-best/log.txt
0.9114,0.8912,0.8877,0.8848,0.9349,0.8183,0.9604,0.8649,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_100403/checkpoint-27/log.txt
0.911,0.89,0.8884,0.8848,0.9349,0.8178,0.9605,0.8635,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_100403/checkpoint-23/log.txt
0.9102,0.889,0.8871,0.8834,0.9344,0.8161,0.9605,0.8628,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_100403/checkpoint-29/log.txt
0.9102,0.889,0.8871,0.8834,0.9344,0.8161,0.9605,0.8628,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_100403/checkpoint-25/log.txt
0.9098,0.8878,0.8879,0.8836,0.9344,0.8156,0.9604,0.8624,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_100403/checkpoint-21/log.txt
0.9086,0.8874,0.8849,0.882,0.933,0.8129,0.9678,0.8556,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_170153/checkpoint-35/log.txt
0.9086,0.887,0.8854,0.8821,0.9333,0.813,0.9677,0.8556,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_170153/checkpoint-33/log.txt
0.9086,0.9056,0.8734,0.8859,0.9253,0.8085,0.961,0.8846,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_170153/checkpoint-best/log.txt
0.9082,0.8867,0.8847,0.8818,0.9328,0.8121,0.9679,0.8572,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_170153/checkpoint-39/log.txt
0.9082,0.8867,0.8847,0.8817,0.9329,0.8121,0.9679,0.8562,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_170153/checkpoint-37/log.txt
0.9078,0.8751,0.8965,0.8804,0.9394,0.8153,0.965,0.8299,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241207_092130/checkpoint-31/log.txt
0.9075,0.8852,0.8839,0.8801,0.9326,0.8106,0.9677,0.8526,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241205_170153/checkpoint-31/log.txt
0.9071,0.8734,0.8966,0.8796,0.9394,0.814,0.9648,0.8273,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241207_092130/checkpoint-33/log.txt
0.9071,0.8734,0.8966,0.8796,0.9394,0.814,0.9646,0.8273,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241207_092130/checkpoint-37/log.txt
0.9071,0.8734,0.8966,0.8796,0.9394,0.814,0.9647,0.8273,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241207_092130/checkpoint-35/log.txt
0.9071,0.8816,0.887,0.8781,0.9345,0.811,0.9596,0.8427,/home/ubuntu/qujunlong/txyy/output/results/efficientnet_b0/20241205_174141/checkpoint-best/log.txt
0.9067,0.8731,0.8959,0.879,0.939,0.8132,0.9645,0.8269,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241207_092130/checkpoint-39/log.txt
0.9055,0.8821,0.8853,0.8789,0.9319,0.8074,0.9663,0.8376,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241207_090334/checkpoint-31/log.txt
0.9055,0.8821,0.8853,0.879,0.9318,0.8074,0.9662,0.8386,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241207_090334/checkpoint-35/log.txt
0.9055,0.8821,0.8853,0.879,0.9318,0.8074,0.9662,0.8386,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241207_090334/checkpoint-39/log.txt
0.9055,0.8821,0.8853,0.879,0.9318,0.8074,0.9662,0.8386,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241207_090334/checkpoint-33/log.txt
0.9055,0.8821,0.8853,0.879,0.9318,0.8074,0.9662,0.8386,/home/ubuntu/qujunlong/txyy/output/results/convnext_tiny_224/20241207_090334/checkpoint-37/log.txt
0.9047,0.885,0.883,0.876,0.9305,0.8053,0.9693,0.8282,/home/ubuntu/qujunlong/txyy/output/results/swin_tiny_patch4_window7_224/20241207_093401/checkpoint-35/log.txt
0.9043,0.8818,0.8788,0.8744,0.9302,0.8039,0.9624,0.8464,/home/ubuntu/qujunlong/txyy/output/results/efficientnet_b0/20241205_174141/checkpoint-31/log.txt
0.9043,0.8815,0.8793,0.8743,0.9305,0.8041,0.9628,0.8444,/home/ubuntu/qujunlong/txyy/output/results/efficientnet_b0/20241205_174141/checkpoint-33/log.txt
0.9024,0.8721,0.8856,0.8749,0.9327,0.8027,0.9572,0.8373,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241205_101922/checkpoint-29/log.txt
0.902,0.8748,0.8808,0.8716,0.931,0.8007,0.9613,0.836,/home/ubuntu/qujunlong/txyy/output/results/efficientnet_b0/20241205_174141/checkpoint-39/log.txt
0.902,0.8714,0.8854,0.8744,0.9326,0.8019,0.9574,0.836,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241205_101922/checkpoint-27/log.txt
0.902,0.8769,0.883,0.8781,0.9301,0.8006,0.9627,0.859,/home/ubuntu/qujunlong/txyy/output/results/swin_tiny_patch4_window7_224/20241205_102828/checkpoint-best/log.txt
0.902,0.873,0.8832,0.8743,0.9316,0.8013,0.9568,0.8386,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241205_101922/checkpoint-best/log.txt
0.9016,0.8715,0.8839,0.8737,0.9319,0.8009,0.9576,0.8344,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241205_101922/checkpoint-23/log.txt
0.9016,0.881,0.8786,0.8709,0.9286,0.7989,0.9707,0.8238,/home/ubuntu/qujunlong/txyy/output/results/swin_tiny_patch4_window7_224/20241207_093401/checkpoint-37/log.txt
0.9012,0.8708,0.8837,0.8733,0.9318,0.8002,0.9575,0.8341,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241205_101922/checkpoint-25/log.txt
0.9012,0.8733,0.8801,0.8706,0.9307,0.7992,0.9617,0.8331,/home/ubuntu/qujunlong/txyy/output/results/efficientnet_b0/20241205_174141/checkpoint-37/log.txt
0.9012,0.8721,0.8811,0.8712,0.9311,0.7995,0.9628,0.836,/home/ubuntu/qujunlong/txyy/output/results/efficientnet_b0/20241205_174141/checkpoint-35/log.txt
0.9008,0.8705,0.8831,0.8728,0.9314,0.7993,0.9575,0.8337,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241205_101922/checkpoint-21/log.txt
0.8988,0.8686,0.8783,0.867,0.93,0.7949,0.9647,0.8316,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241204_204030/checkpoint-best/log.txt
0.898,0.861,0.8901,0.87,0.934,0.7969,0.9612,0.8145,/home/ubuntu/qujunlong/txyy/output/results/efficientnet_b0/20241205_103544/checkpoint-best/log.txt
0.898,0.8783,0.8724,0.8711,0.9234,0.7903,0.9552,0.8462,/home/ubuntu/qujunlong/txyy/output/results/swin_tiny_patch4_window7_224/20241205_173241/checkpoint-31/log.txt
0.898,0.8675,0.8781,0.8669,0.9294,0.7934,0.9653,0.8294,/home/ubuntu/qujunlong/txyy/output/results/resnet34/20241204_204030/checkpoint-19/log.txt
